Episode,Total_Reward,Avg_SoC,Epsilon
1,79.5,1.0,1.0
2,94.0,1.0,0.995
3,133.5,1.0,0.99
4,89.0,1.0,0.985
5,97.0,1.0,0.98
6,92.0,1.0,0.975
7,127.5,1.0,0.97
8,102.0,1.0,0.966
9,88.5,1.0,0.961
10,101.5,1.0,0.956
11,119.5,1.0,0.951
12,124.0,1.0,0.946
13,97.5,1.0,0.942
14,82.0,1.0,0.937
15,91.0,1.0,0.932
16,73.0,1.0,0.928
17,83.5,1.0,0.923
18,98.5,1.0,0.918
19,114.5,1.0,0.914
20,126.5,1.0,0.909
21,106.5,1.0,0.905
22,113.0,1.0,0.9
23,111.5,1.0,0.896
24,98.0,1.0,0.891
25,121.5,1.0,0.887
26,77.5,1.0,0.882
27,117.5,1.0,0.878
28,131.0,1.0,0.873
29,103.0,1.0,0.869
30,114.5,1.0,0.865
31,89.5,1.0,0.86
32,127.0,1.0,0.856
33,126.5,1.0,0.852
34,110.0,1.0,0.848
35,80.5,1.0,0.843
36,110.0,1.0,0.839
37,114.5,1.0,0.835
38,87.5,1.0,0.831
39,138.5,1.0,0.827
40,136.5,1.0,0.822
41,94.5,1.0,0.818
42,108.0,1.0,0.814
43,116.0,1.0,0.81
44,119.5,1.0,0.806
45,85.5,1.0,0.802
46,110.5,1.0,0.798
47,103.0,1.0,0.794
48,110.0,1.0,0.79
49,117.0,1.0,0.786
50,117.5,1.0,0.782
51,128.0,1.0,0.778
52,86.0,1.0,0.774
53,87.0,1.0,0.771
54,114.5,1.0,0.767
55,110.5,1.0,0.763
56,95.0,1.0,0.759
57,122.0,1.0,0.755
58,70.0,1.0,0.751
59,106.5,1.0,0.748
60,121.0,1.0,0.744
61,119.5,1.0,0.74
62,104.5,1.0,0.737
63,90.0,1.0,0.733
64,90.5,1.0,0.729
65,81.0,1.0,0.726
66,115.5,1.0,0.722
67,105.0,1.0,0.718
68,99.5,1.0,0.715
69,119.0,1.0,0.711
70,104.0,1.0,0.708
71,141.5,1.0,0.704
72,128.5,1.0,0.701
73,99.0,1.0,0.697
74,130.0,1.0,0.694
75,121.0,1.0,0.69
76,116.5,1.0,0.687
77,139.0,1.0,0.683
78,111.5,1.0,0.68
79,127.0,1.0,0.676
80,103.5,1.0,0.673
81,101.0,1.0,0.67
82,159.0,1.0,0.666
83,118.0,1.0,0.663
84,115.5,1.0,0.66
85,145.0,1.0,0.656
86,122.0,1.0,0.653
87,142.0,1.0,0.65
88,124.0,1.0,0.647
89,97.0,1.0,0.643
90,101.0,1.0,0.64
91,117.0,1.0,0.637
92,111.5,1.0,0.634
93,94.5,1.0,0.631
94,144.5,1.0,0.627
95,130.0,1.0,0.624
96,130.5,1.0,0.621
97,114.5,1.0,0.618
98,121.5,1.0,0.615
99,133.0,1.0,0.612
100,128.5,1.0,0.609
101,126.5,1.0,0.606
102,106.5,1.0,0.603
103,133.0,1.0,0.6
104,90.0,1.0,0.597
105,114.0,1.0,0.594
106,123.0,1.0,0.591
107,117.0,1.0,0.588
108,117.0,1.0,0.585
109,98.0,1.0,0.582
110,137.5,1.0,0.579
111,111.5,1.0,0.576
112,138.5,1.0,0.573
113,153.0,1.0,0.57
114,127.5,1.0,0.568
115,122.0,1.0,0.565
116,132.0,1.0,0.562
117,70.5,1.0,0.559
118,128.0,1.0,0.556
119,111.0,1.0,0.554
120,137.5,1.0,0.551
121,67.0,1.0,0.548
122,109.0,1.0,0.545
123,160.5,1.0,0.543
124,138.0,1.0,0.54
125,131.5,1.0,0.537
126,130.5,1.0,0.534
127,114.5,1.0,0.532
128,121.0,1.0,0.529
129,118.0,1.0,0.526
130,103.0,1.0,0.524
131,113.5,1.0,0.521
132,136.0,1.0,0.519
133,122.0,1.0,0.516
134,121.0,1.0,0.513
135,151.5,1.0,0.511
136,124.0,1.0,0.508
137,148.0,1.0,0.506
138,139.0,1.0,0.503
139,107.0,1.0,0.501
140,131.5,1.0,0.498
141,117.0,1.0,0.496
142,122.5,1.0,0.493
143,138.0,1.0,0.491
144,127.0,1.0,0.488
145,117.5,1.0,0.486
146,137.0,1.0,0.483
147,141.0,1.0,0.481
148,133.5,1.0,0.479
149,114.5,1.0,0.476
150,116.5,1.0,0.474
151,129.0,1.0,0.471
152,132.5,1.0,0.469
153,92.5,1.0,0.467
154,122.5,1.0,0.464
155,109.5,1.0,0.462
156,112.0,1.0,0.46
157,141.5,1.0,0.458
158,114.5,1.0,0.455
159,140.5,1.0,0.453
160,143.0,1.0,0.451
161,125.0,1.0,0.448
162,123.0,1.0,0.446
163,138.5,1.0,0.444
164,123.5,1.0,0.442
165,141.5,1.0,0.44
166,114.0,1.0,0.437
167,129.5,1.0,0.435
168,127.0,1.0,0.433
169,136.0,1.0,0.431
170,118.5,1.0,0.429
171,149.0,1.0,0.427
172,113.0,1.0,0.424
173,127.0,1.0,0.422
174,135.5,1.0,0.42
175,134.5,1.0,0.418
176,134.0,1.0,0.416
177,132.5,1.0,0.414
178,119.0,1.0,0.412
179,141.5,1.0,0.41
180,111.5,1.0,0.408
181,110.0,1.0,0.406
182,130.0,1.0,0.404
183,133.0,1.0,0.402
184,141.5,1.0,0.4
185,125.5,1.0,0.398
186,135.0,1.0,0.396
187,132.0,1.0,0.394
188,124.0,1.0,0.392
189,110.5,1.0,0.39
190,142.0,1.0,0.388
191,112.0,1.0,0.386
192,125.5,1.0,0.384
193,154.5,1.0,0.382
194,140.0,1.0,0.38
195,133.5,1.0,0.378
196,119.0,1.0,0.376
197,152.0,1.0,0.374
198,154.5,1.0,0.373
199,114.0,1.0,0.371
200,142.0,1.0,0.369
201,144.5,1.0,0.367
202,137.5,1.0,0.365
203,142.0,1.0,0.363
204,157.5,1.0,0.361
205,112.5,1.0,0.36
206,86.5,1.0,0.358
207,109.0,1.0,0.356
208,134.5,1.0,0.354
209,134.0,1.0,0.353
210,142.5,1.0,0.351
211,126.5,1.0,0.349
212,134.5,1.0,0.347
213,130.5,1.0,0.346
214,70.5,1.0,0.344
215,143.5,1.0,0.342
216,131.5,1.0,0.34
217,124.5,1.0,0.339
218,152.0,1.0,0.337
219,124.0,1.0,0.335
220,128.0,1.0,0.334
221,124.5,1.0,0.332
222,156.0,1.0,0.33
223,127.0,1.0,0.329
224,136.5,1.0,0.327
225,153.5,1.0,0.325
226,137.5,1.0,0.324
227,135.0,1.0,0.322
228,138.0,1.0,0.321
229,150.5,1.0,0.319
230,150.0,1.0,0.317
231,143.0,1.0,0.316
232,136.0,1.0,0.314
233,133.5,1.0,0.313
234,144.5,1.0,0.311
235,139.0,1.0,0.309
236,104.5,1.0,0.308
237,137.0,1.0,0.306
238,157.5,1.0,0.305
239,134.0,1.0,0.303
240,125.0,1.0,0.302
241,121.5,1.0,0.3
242,156.0,1.0,0.299
243,129.0,1.0,0.297
244,123.5,1.0,0.296
245,123.5,1.0,0.294
246,137.0,1.0,0.293
247,148.5,1.0,0.291
248,128.5,1.0,0.29
249,138.0,1.0,0.288
250,111.5,1.0,0.287
251,118.0,1.0,0.286
252,132.0,1.0,0.284
253,151.5,1.0,0.283
254,140.5,1.0,0.281
255,112.0,1.0,0.28
256,86.0,1.0,0.279
257,143.5,1.0,0.277
258,144.5,1.0,0.276
259,128.0,1.0,0.274
260,123.0,1.0,0.273
261,139.0,1.0,0.272
262,104.0,1.0,0.27
263,127.0,1.0,0.269
264,131.5,1.0,0.268
265,140.5,1.0,0.266
266,143.0,1.0,0.265
267,143.5,1.0,0.264
268,124.5,1.0,0.262
269,140.0,1.0,0.261
270,151.5,1.0,0.26
271,109.5,1.0,0.258
272,130.5,1.0,0.257
273,125.0,1.0,0.256
274,143.5,1.0,0.255
275,154.5,1.0,0.253
276,153.0,1.0,0.252
277,151.5,1.0,0.251
278,134.5,1.0,0.249
279,150.0,1.0,0.248
280,153.0,1.0,0.247
281,128.0,1.0,0.246
282,135.0,1.0,0.245
283,147.5,1.0,0.243
284,141.5,1.0,0.242
285,125.0,1.0,0.241
286,148.5,1.0,0.24
287,128.0,1.0,0.238
288,153.0,1.0,0.237
289,156.0,1.0,0.236
290,140.5,1.0,0.235
291,160.5,1.0,0.234
292,136.0,1.0,0.233
293,145.0,1.0,0.231
294,126.5,1.0,0.23
295,156.0,1.0,0.229
296,123.5,1.0,0.228
297,154.5,1.0,0.227
298,135.5,1.0,0.226
299,157.5,1.0,0.225
300,154.5,1.0,0.223
301,143.0,1.0,0.222
302,153.0,1.0,0.221
303,154.5,1.0,0.22
304,127.0,1.0,0.219
305,138.5,1.0,0.218
306,153.0,1.0,0.217
307,135.0,1.0,0.216
308,142.0,1.0,0.215
309,160.5,1.0,0.214
310,121.0,1.0,0.212
311,136.0,1.0,0.211
312,141.5,1.0,0.21
313,154.5,1.0,0.209
314,157.5,1.0,0.208
315,148.5,1.0,0.207
316,140.0,1.0,0.206
317,137.5,1.0,0.205
318,136.0,1.0,0.204
319,153.5,1.0,0.203
320,138.5,1.0,0.202
321,138.5,1.0,0.201
322,108.5,1.0,0.2
323,111.5,1.0,0.199
324,136.5,1.0,0.198
325,146.5,1.0,0.197
326,157.5,1.0,0.196
327,143.5,1.0,0.195
328,143.0,1.0,0.194
329,118.5,1.0,0.193
330,140.5,1.0,0.192
331,142.5,1.0,0.191
332,156.0,1.0,0.19
333,137.0,1.0,0.189
334,135.5,1.0,0.188
335,143.0,1.0,0.187
336,156.0,1.0,0.187
337,152.0,1.0,0.186
338,118.5,1.0,0.185
339,150.5,1.0,0.184
340,144.5,1.0,0.183
341,149.0,1.0,0.182
342,159.0,1.0,0.181
343,121.5,1.0,0.18
344,136.5,1.0,0.179
345,137.0,1.0,0.178
346,143.0,1.0,0.177
347,141.0,1.0,0.177
348,156.0,1.0,0.176
349,151.5,1.0,0.175
